,simulation TH 0,renewal process TH,M/G/1 TH,no congestion TH,simulation delay 0,delay renewal,delay mg1,delay no cong,simulation speed 0,deadlock sim0,max rho renewal,max rho mg1,max rho no cong,avg rho renewal,avg rho mg1,avg rho no cong,block rate renewal,block rate mg1,block rate no cong,block rate sim0
11,15,20.054176667295607,19.673038344786782,21.99100942447925,197,111.55389073396768,133.38259379917827,0.0,0.48333333333333345,0,0.6684512405185543,0.6557804923814972,0.0,0.0891596086905151,0.08746953955108105,0.0,0.004600201536341306,0.004278057466446128,0.0,0.0
12,14,21.470560707174023,21.000982985954856,23.663813333411923,164,128.75790201331733,156.07151281473458,0.0,0.5246153846153847,0,0.7156566107115421,0.7000539290913195,0.0,0.0954559753167577,0.09337483091134545,0.0,0.0059412346018446385,0.005473100828696187,0.0,0.0
13,15,22.848811649786732,22.28243931635926,25.292596550110876,313,146.68203030144122,180.20577306105406,0.0,0.4742857142857143,0,0.7615899469819005,0.7427819070650297,0.0,0.10158267547597313,0.09907398351741534,0.0,0.007464144140189135,0.0068144169732842885,0.0,792.0
14,16,24.18787195277869,23.518177298739992,26.87065748924648,332,165.25750507647774,205.63248329212203,0.0,0.4646666666666666,0,0.8062670813924717,0.7839303706511475,0.0,0.10754179834912832,0.10456248129389853,0.0,0.009151001017538931,0.008282715471530113,0.0,504.00000000000006
15,9,25.48716450331157,24.70765307621948,28.390453350425247,771,184.30838819511303,232.34569613699296,0.0,0.305,0,0.8495779097394056,0.823574501607912,0.0,0.1133186980668754,0.10985031099429066,0.0,0.010970164704000541,0.009857123760963184,0.0,2952.0
16,17,26.745089606058713,25.851406764762555,29.84364028518513,403,203.74707707790273,260.2016946323498,0.0,0.4447058823529412,0,0.8915097649618293,0.8616926682224197,0.0,0.11891166713030857,0.11493460481610945,0.0,0.012884804910508354,0.01150894815715529,0.0,828.0
17,17,27.95994134034379,26.94963104786899,31.22120089323529,552,223.4509267877159,289.0871792508221,0.0,0.4099999999999999,0,0.9320056783533641,0.8982910881822075,0.0,0.12431310696551116,0.11981619217963296,0.0,0.014849012474030336,0.013206764080151645,0.0,1368.0
18,15,29.129679210573247,28.001959723528905,32.513691378540734,657,243.2898656058399,318.94987266984594,0.0,0.3942105263157895,0,0.9709975273432176,0.9334074910338044,0.0,0.12951393127048944,0.12450008350984,0.0,0.016810327998695983,0.014918575233900291,0.0,2664.0
19,19,30.25192489023041,29.009387498445317,33.71163813100686,636,263.12565199831283,349.54997934614755,0.0,0.408,0,1.0084059444186821,0.9669916743925178,0.0,0.13450355385933993,0.12897961947068853,0.0,0.018712111566139264,0.016606921632351338,0.0,1584.0
20,12,31.323970233861054,29.971649004582353,34.806100534352346,837,282.81149415584474,380.79501725549517,0.0,0.3533333333333333,3,1.0441406035463263,0.9990706871912076,0.0,0.1392699268572444,0.13325839207666315,0.0,0.020496605722947803,0.01823849969799403,0.0,3168.0
21,14,32.34280238362089,30.888813345470616,35.78938935026941,865,302.1922042810622,412.5352716970523,0.0,0.35590909090909084,2,1.0781010739044032,1.029646491802368,0.0,0.14379965456587437,0.13733666322410137,0.0,0.022108239582596553,0.019780252456543992,0.0,2772.0
